City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Kiunga,PG,88.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
416,Nago,JP,79.65,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
418,Miramar,US,83.01,clear sky,25.9873,-80.2323,Miramar
419,Nakhon Thai,TH,77.99,overcast clouds,17.1006,100.8374,Phet resort
422,Umm Lajj,SA,79.72,clear sky,25.0213,37.2685,Moon light Furnished Units
424,Hobyo,SO,79.47,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
426,Tura,IN,79.93,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
430,Bubaque,GW,79.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
447,Balaghat,IN,75.83,clear sky,21.8,80.1833,Hotel celebration
455,Anloga,GH,77.22,scattered clouds,5.7947,0.8973,Pin Drop Hotel
458,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
461,Lorengau,PG,86.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
463,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
464,Trincomalee,LK,81.93,light rain,8.5711,81.2335,Welcombe Hotel
465,Bom Jesus Da Lapa,BR,78.51,overcast clouds,-13.255,-43.4181,Hotel das Nações
466,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
467,Yenagoa,NG,75.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
475,Aswan,EG,77.07,clear sky,24.0934,32.907,Nuba Nile
481,Buala,SB,85.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
493,Bonao,DO,78.78,few clouds,18.9369,-70.4092,POOL CITY HOTEL Bar & Lounge
496,Eyl,SO,76.93,scattered clouds,7.9803,49.8164,Amiin Hotel
497,Ambilobe,MG,77.77,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
501,Tecoanapa,MX,78.98,scattered clouds,16.5167,-98.75,Hotel Manglares
503,Makakilo City,US,78.57,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Kaura Namoda,NG,76.75,overcast clouds,12.5898,6.5779,Moonlight Hotel
509,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
516,Porto Novo,BJ,75.99,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
517,Kudahuvadhoo,MV,82.45,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
522,Tumaco,CO,76.96,overcast clouds,1.7986,-78.8156,Dafneruben
526,Cabanas,CU,79.27,overcast clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
529,Poum,NC,75.7,clear sky,-20.2333,164.0167,Gîte kajeon
